provider_name,provider_state,provider_zip_code,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,provider_type,provider_resides_in_hospital,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,health_inspection_rating,qm_rating,staffing_rating,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,registered_nurse_hours_per_resident_per_day_on_the_weekend,number_of_administrators_who_have_left_the_nursing_home,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,number_of_payment_denials,total_number_of_penalties
ST GEORGE HEALTHCARE CENTER,SC,29477,For profit - Corporation,88,81.5,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,1,1,1,1.82164,1.27595,3.09759,0.17741,1,5,1,1,3,0,3
PRUITTHEALTH- AIKEN,SC,29801,For profit - Corporation,176,126.8,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,1,1,3,4,1.97646,1.62151,3.59797,0.27958,0,9,0,1,4,0,4
SANDPIPER POST ACUTE,SC,29464,For profit - Limited Liability company,176,161,Medicare and Medicaid,N,N,,Y,N,Both,Yes,1,1,4,2,2.06826,1.42238,3.49064,0.29142,2,0,0,1,1,0,1
LIFE CARE CENTER OF HILTON HEAD,SC,29926,For profit - Corporation,88,50.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,1.86262,1.64854,3.51116,0.34206,,0,1,1,0,0,0
LAKE CITY SCRANTON HEALTHCARE CENTER,SC,29591,For profit - Limited Liability company,88,82.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,1,1.67266,1.25493,2.9276,0.13458,2,9,2,1,11,0,11
FRASER HEALTH CENTER,SC,29928,Non profit - Corporation,33,24,Medicare,N,Y,,N,N,Resident,Yes,5,4,4,5,2.94505,2.73516,5.68022,0.93182,0,0,0,0,0,0,0
HERITAGE HOME OF FLORENCE INC,SC,29501,For profit - Corporation,132,83.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,4,2.52443,1.54488,4.06931,0.17666,,1,0,2,3,0,3
LANCASTER HEALTH AND REHABILITATION,SC,29720,For profit - Corporation,142,134.7,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,2,4,3,1.99152,1.24573,3.23725,0.46414,0,0,3,2,3,0,3
OAKBROOK HEALTH AND REHABILITATION CENTER,SC,29485,For profit - Limited Liability company,88,72.8,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,2,2,1.45947,1.36341,2.82288,0.33878,0,0,0,1,0,0,0
SOUTHLAND HEALTH CARE CENTER,SC,29506,For profit - Corporation,88,64.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,2.85095,1.94621,4.79716,0.2073,1,0,0,0,0,0,0
RIDGEWAY MANOR HEALTHCARE CENTER,SC,29130,For profit - Limited Liability company,112,97.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,2,1.89367,1.18813,3.0818,0.30927,3,1,1,3,4,0,4
ROCK HILL POST ACUTE CARE CENTER,SC,29732,For profit - Corporation,99,80.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,2,1.4751,1.65406,3.12916,0.29108,0,0,0,0,1,0,1
ROLLING GREEN VILLAGE,SC,29615,Non profit - Corporation,74,46.9,Medicare,N,Y,,N,N,Both,Yes,5,4,4,5,2.33487,2.65757,4.99244,0.6023,1,0,0,2,0,0,0
CARLYLE SENIOR CARE OF FLORENCE,SC,29501,For profit - Limited Liability company,88,78.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,2,1.80746,1.42927,3.23673,0.26696,0,1,0,1,2,0,2
MAGNOLIA MANOR - ROCK HILL,SC,29732,For profit - Limited Liability company,106,97,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,1,4,4,1.9359,1.39023,3.32613,0.23219,0,4,0,7,3,0,3
CARLYLE SENIOR CARE OF FOUNTAIN INN,SC,29644,For profit - Limited Liability company,60,51.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,3,1.98529,1.57534,3.56063,0.43952,0,0,0,4,2,0,2
SPRINGDALE HEALTHCARE CENTER,SC,29020,For profit - Corporation,148,136.5,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,1,1,2,1,1.77975,1.29267,3.07242,0.1253,1,2,6,1,4,0,4
CALHOUN CONVALESCENT CENTER,SC,29135,For profit - Corporation,120,109.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,4,1,1.80298,1.09148,2.89445,0.10049,2,3,4,0,2,0,2
MCCORMICK REHABILITATION AND HEALTHCARE CENTER,SC,29835,For profit - Corporation,120,86.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,1.81069,1.24635,3.05704,0.36474,,3,0,0,0,0,0
MAGNOLIA MANOR - GREENWOOD,SC,29646,For profit - Limited Liability company,88,76.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,3,1.90012,1.29703,3.19715,0.21558,0,2,0,1,2,0,2
PRUITTHEALTH- CONWAY AT CONWAY MEDICAL CENTER,SC,29526,For profit - Corporation,88,72.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,4,1.35241,1.91871,3.27112,0.53183,1,3,1,0,2,0,2
MCCOY MEMORIAL NURSING CENTER,SC,29010,For profit - Limited Liability company,120,112.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.10233,1.25031,3.35264,0.30925,0,0,2,1,1,0,1
MAGNOLIA PLACE - SPARTANBURG,SC,29303,For profit - Corporation,120,102.8,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,1,1,1,2,1.80521,1.461,3.26621,0.30746,2,15,5,5,3,1,4
MEDFORD NURSING CENTER,SC,29532,For profit - Corporation,88,78.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,3,2.65673,1.26928,3.92601,0.12831,0,0,0,0,0,0,0
WOODRUFF MANOR,SC,29388,Government - Hospital district,88,80.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,4,1.95454,1.33273,3.28726,0.44525,0,12,0,1,2,0,2
MAGNOLIA MANOR - COLUMBIA,SC,29223,For profit - Limited Liability company,88,83.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,1.7978,1.31305,3.11085,0.29999,1,6,7,5,12,0,12
PRUITTHEALTH- RIDGEWAY,SC,29130,For profit - Corporation,150,109.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,3,1.54115,1.48082,3.02197,0.10412,0,5,4,4,2,0,2
VIVIANT HEALTHCARE OF HANAHAN,SC,29410,For profit - Limited Liability company,135,99.1,Medicare and Medicaid,N,N,SFF,N,N,Resident,Yes,,,,,1.51182,1.22547,2.73729,0.19977,1,2,7,2,5,2,7
WHITE OAK ESTATES,SC,29302,For profit - Corporation,88,74.6,Medicare and Medicaid,N,Y,,Y,N,Resident,Yes,2,2,4,2,1.8848,1.59564,3.48044,0.18066,1,1,0,0,1,0,1
WESTMINSTER HEALTH & REHAB CENTER,SC,29732,Non profit - Corporation,66,14.5,Medicare,N,Y,,N,N,Resident,Yes,5,4,5,3,3.13355,1.82551,4.95905,0.79508,,0,0,0,1,0,1
EDGEFIELD POST-ACUTE,SC,29824,For profit - Limited Liability company,120,105.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,2,1,2.1522,1.13697,3.28917,0.32357,2,0,0,0,0,0,0
PROMEDICA SKILLED NURSING AND REH- GREENVILLE WEST,SC,29611,Non profit - Other,125,108,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,4,1.95427,1.29285,3.24713,0.45591,1,2,0,0,2,0,2
PRINCE GEORGE HEALTHCARE CENTER,SC,29440,For profit - Individual,148,140.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,2,1.87938,1.31948,3.19886,0.2187,0,0,4,0,1,0,1
PRUITTHEALTH- NORTH AUGUSTA,SC,29841,For profit - Corporation,132,100.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,3,1,1.44279,1.49984,2.94263,0.29735,,4,0,7,0,0,0
WILLISTON HEALTHCARE AND REHAB LLC,SC,29853,For profit - Limited Liability company,44,38.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,4,1,1.92065,1.04723,2.96788,0.22798,,0,0,1,0,0,0
POWDERSVILLE POST-ACUTE,SC,29642,For profit - Limited Liability company,60,57.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,3,1.95129,1.52509,3.47639,0.28371,,0,2,0,2,0,2
LAKE MARION NURSING FACILITY,SC,29148,Non profit - Other,88,64.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,4,5,2.22408,1.65802,3.8821,0.59641,0,1,0,0,1,0,1
RICHARD M CAMPBELL VETERANS NURSING HOME,SC,29621,Government - State,220,186.8,Medicare and Medicaid,N,N,,Y,N,Both,Yes,2,2,3,4,2.86016,1.61951,4.47968,0.19516,0,1,0,0,0,0,0
REHAB CENTER OF CHERAW,SC,29520,For profit - Corporation,104,99.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,2,1.92699,1.20278,3.12977,0.24794,0,3,3,2,3,0,3
LAKE EMORY POST ACUTE CARE,SC,29349,For profit - Limited Liability company,88,82.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,1.69353,1.23576,2.9293,0.19556,2,3,1,3,3,0,3
PATEWOOD REHABILITATION & HEALTHCARE CENTER,SC,29607,For profit - Limited Liability company,120,113.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,2,2.22003,1.43253,3.65256,0.22692,1,3,1,1,9,0,9
HERITAGE HEALTHCARE OF PICKENS,SC,29682,For profit - Limited Liability company,44,39.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,3,1.90859,1.717,3.62559,0.44979,0,0,0,0,0,0,0
RIVER FALLS REHABILITATION AND HEALTHCARE CENTER,SC,29661,For profit - Corporation,44,39.7,Medicare and Medicaid,N,N,,Y,N,Both,Yes,2,2,4,2,2.23081,1.46295,3.69375,0.24946,2,1,3,3,1,0,1
AIKEN REHABILITATION AND CARE CENTER,SC,29801,For profit - Corporation,132,99.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,2.08384,1.57372,3.65757,0.2499,2,5,1,0,25,0,25
DR RONALD E MCNAIR NURSING & REHABILITATION CENTER,SC,29560,For profit - Corporation,88,54.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,2,2.1237,1.48347,3.60717,0.15878,,3,2,1,6,0,6
BLUE RIDGE OF SUMTER,SC,29154,For profit - Limited Liability company,96,70.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,1.78524,0.86894,2.65418,0.10066,3,3,0,0,1,0,1
ANCHOR POST ACUTE,SC,29803,For profit - Limited Liability company,120,107.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,2.24516,1.75758,4.00274,0.27735,2,0,0,0,0,0,0
MUSC HEALTH MULLINS NURSING HOME,SC,29574,Government - State,92,79.6,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,1,3,3,2.30862,1.47404,3.78266,0.16116,,0,0,1,1,0,1
PIEDMONT POST-ACUTE,SC,29673,For profit - Corporation,88,81.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,2,2.0074,1.60191,3.60932,0.22323,2,2,3,1,1,0,1
PRUITTHEALTH- ESTILL,SC,29918,For profit - Limited Liability company,104,64.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,2,2.16319,1.60312,3.76631,0.29908,2,2,1,2,1,1,2
GOLDEN AGE INMAN,SC,29349,For profit - Limited Liability company,44,34,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,1,1.50348,1.29102,2.79451,0.23711,,1,0,2,2,0,2
IVA POST-ACUTE,SC,29655,For profit - Limited Liability company,60,52.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,2,2.09849,1.32869,3.42719,0.39655,1,4,0,6,1,0,1
LAUREL BAYE HEALTHCARE BLACKVILLE,SC,29817,For profit - Limited Liability company,85,69.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,2,1,2.38283,1.3157,3.69852,0.10161,,0,0,1,7,0,7
NHC HEALTHCARE - NORTH AUGUSTA,SC,29841,For profit - Corporation,192,154.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,2.37994,1.6174,3.99735,0.38335,1,0,0,1,0,0,0
L.M.C.- EXTENDED CARE,SC,29072,Non profit - Corporation,352,278.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,2.09971,1.59552,3.69523,0.22786,0,11,0,4,1,0,1
NHC HEALTHCARE - GREENVILLE,SC,29650,For profit - Limited Liability company,132,113.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,2.50012,1.81366,4.31378,0.33793,0,0,0,0,0,0,0
"ANGEL OAK NURSING AND REHABILITATION CENTER, LLC",SC,29588,For profit - Limited Liability company,88,81.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,3,1,1,1.4461,1.27417,2.72027,0.18249,0,2,1,1,0,0,0
NHC HEALTHCARE - GARDEN CITY,SC,29576,For profit - Limited Liability company,148,122.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,2.15634,1.83908,3.99541,0.31459,0,0,1,0,0,0,0
THE PRESTON HEALTH CENTER,SC,29926,Non profit - Corporation,62,42.9,Medicare,N,Y,,N,N,Both,Yes,5,3,5,5,3.45614,2.66436,6.1205,1.02821,2,0,0,1,2,0,2
HALLMARK HEALTHCARE CENTER,SC,29485,For profit - Corporation,88,76,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,2,1.76563,1.44642,3.21205,0.34919,1,5,2,11,6,0,6
LIFE CARE CENTER OF CHARLESTON,SC,29406,For profit - Limited Liability company,148,110.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,3,2.00858,1.43329,3.44187,0.50254,,0,0,1,1,0,1
NHC HEALTHCARE - LEXINGTON,SC,29169,For profit - Limited Liability company,170,147,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,3,2.37429,1.67453,4.04882,0.29406,0,0,0,0,0,0,0
MARTHA FRANKS BAPTIST RETIREMENT CENTER,SC,29360,Non profit - Church related,88,78.1,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,3,3,2,4,2.35716,1.66496,4.02213,0.46892,,0,0,0,0,0,0
LIFE CARE CENTER OF COLUMBIA,SC,29223,For profit - Corporation,179,84.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,3,2.12606,1.48957,3.61563,0.23295,,0,9,1,3,0,3
LAKE MOULTRIE NURSING HOME,SC,29479,Government - Hospital district,88,82.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,4,2.48276,1.2672,3.74996,0.27471,0,0,1,0,0,0,0
BROAD CREEK CARE CENTER,SC,29928,For profit - Corporation,25,22.3,Medicare,N,Y,,N,N,Both,Yes,4,3,4,5,2.37448,2.74945,5.12394,1.32743,0,0,0,1,1,0,1
NHC HEALTHCARE - PARKLANE,SC,29223,For profit - Corporation,180,99.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,2.87947,1.62116,4.50063,0.21006,0,2,1,2,1,0,1
NHC HEALTHCARE - MAULDIN,SC,29607,For profit - Corporation,180,146.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,2.44911,1.39236,3.84148,0.21954,1,0,0,0,0,0,0
C M TUCKER JR NURSING CARE CENTER  RODDEY PAVILIO,SC,29203,Government - State,308,88.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,3,5,2.93682,3.07541,6.01223,1.1947,0,3,0,2,1,0,1
MAGNOLIA PLACE - GREENVILLE,SC,29607,For profit - Limited Liability company,120,111.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,1.7135,1.22186,2.93536,0.11041,1,1,0,5,1,0,1
HEARTLAND OF WEST ASHLEY,SC,29407,For profit - Limited Liability company,125,85.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,1.78832,1.16554,2.95386,0.28903,0,3,4,2,4,0,4
JOHNS ISLAND POST ACUTE,SC,29455,For profit - Limited Liability company,132,123.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,1.97944,1.28283,3.26228,0.15754,,2,1,0,2,0,2
SEDGEWOOD MANOR HEALTH CARE CENTER,SC,29061,For profit - Limited Liability company,38,36.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,5,1,2.55383,1.13493,3.68875,0.18468,0,1,0,4,4,0,4
BETHEA BAPTIST HEALTHCARE CENTER,SC,29532,Non profit - Church related,68,60.9,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,3,3,3,4,2.94129,2.03431,4.9756,0.24206,2,0,0,1,2,0,2
THE GABLES OF PELHAM SKILLED NURSING & REHAB,SC,29615,For profit - Limited Liability company,45,27.7,Medicare,N,Y,,N,N,Resident,Yes,1,2,2,1,2.45649,1.28011,3.7366,0.37099,,10,1,11,2,0,2
FRANKE HEALTH CARE CENTER,SC,29464,Non profit - Corporation,44,37.3,Medicare,N,Y,,N,N,Both,Yes,5,4,5,4,2.89945,1.94889,4.84834,0.4044,0,0,0,0,0,0,0
WILLOW BROOKE COURT AT PARK POINTE VILLAGE,SC,29732,Non profit - Corporation,40,13.8,Medicare,N,Y,,N,N,Resident,Yes,5,4,5,4,2.2137,1.9164,4.13009,0.81542,1,0,0,0,1,0,1
ROSECREST REHABILITATION AND HEALTHCARE CENTER,SC,29349,Non profit - Church related,75,45.9,Medicare,N,Y,,N,N,Resident,Yes,5,5,4,4,2.52889,2.10087,4.62976,0.47155,0,0,0,0,0,0,0
OPUS POST ACUTE REHABILITATION,SC,29169,For profit - Corporation,100,81.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,2,2.15305,1.54034,3.6934,0.34279,,0,0,1,0,0,0
LAKES AT LITCHFIELD,SC,29585,For profit - Limited Liability company,17,14.8,Medicare,N,Y,,Y,N,None,Yes,2,2,2,4,2.48757,2.78679,5.27436,1.45571,2,1,0,0,3,0,3
NHC HEALTHCARE - CHARLESTON,SC,29414,For profit - Limited Liability company,88,67,Medicare,N,N,,N,N,Resident,Yes,5,5,3,4,3.49055,3.39499,6.88555,0.41343,0,0,1,0,0,0,0
SPARTANBURG HOSPITAL FOR RESTORATIVE CARE SNF,SC,29303,Government - Hospital district,25,13.2,Medicare,Y,N,,N,N,Resident,Yes,5,5,5,4,2.24922,4.30415,6.55337,2.25388,1,0,0,0,0,0,0
WILDEWOOD DOWNS,SC,29223,For profit - Limited Liability company,32,19.2,Medicare,N,Y,,N,N,None,Yes,4,3,5,4,3.12379,2.52468,5.64847,0.51525,1,1,0,0,1,0,1
VETERANS VICTORY HOUSE,SC,29488,Government - State,220,171.2,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,3,2,5,4,2.35289,1.49837,3.85126,0.35427,1,4,1,2,2,0,2
RICE NURSING HOME,SC,29203,Non profit - Corporation,80,74.6,Medicare,N,Y,,N,N,None,Yes,3,3,4,4,2.62698,1.8761,4.50308,0.42664,0,1,0,1,1,0,1
GREENWOOD TRANSITIONAL REHABILITATION UNIT,SC,29646,For profit - Corporation,12,9.3,Medicare,Y,N,,N,N,None,Yes,5,5,5,5,3.88212,4.3022,8.18432,3.22693,0,0,0,0,2,0,2
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-SUMMERV,SC,29483,Non profit - Corporation,87,38.3,Medicare,N,Y,,N,N,Resident,Yes,3,2,5,3,2.22149,2.15131,4.37279,0.87309,1,1,0,0,0,0,0
SUMMIT HILLS SKILLED NURSING FACILITY,SC,29307,For profit - Limited Liability company,33,21.1,Medicare,N,Y,,N,N,Both,Yes,2,2,2,4,3.08202,2.36309,5.44511,0.74613,1,2,0,3,2,0,2
COMPASS POST ACUTE REHABILITATION,SC,29527,For profit - Corporation,95,71.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,1.98633,1.73175,3.71808,0.52474,0,0,0,2,0,0,0
LINVILLE COURT AT THE CASCADES VERDAE,SC,29607,For profit - Corporation,44,39.3,Medicare,N,Y,,N,N,None,Yes,2,2,4,4,3.06263,1.96897,5.0316,0.38414,1,0,0,1,1,0,1
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA- CLINTO,SC,29325,Non profit - Corporation,18,7.4,Medicare,N,N,,N,N,Resident,Yes,5,4,4,5,3.10102,4.60981,7.71083,2.24349,2,0,0,1,0,0,0
THE ARBORETUM AT THE WOODLANDS,SC,29617,Non profit - Other,30,27.5,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,5,5,4,4,2.27311,2.57812,4.85123,0.63926,0,0,0,1,0,0,0
THE RETREAT AT BRIGHTWATER,SC,29579,For profit - Limited Liability company,67,48.9,Medicare,N,Y,SFF Candidate,N,N,Resident,Yes,1,1,3,3,2.7374,2.18626,4.92365,0.41812,1,0,0,4,5,0,5
PRESBYTERIAN HOME OF SOUTH CAROLINA-COLUMBIA,SC,29073,Non profit - Church related,22,27.3,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,4,4,4,2,1.82998,1.36823,3.19821,0.54958,0,1,0,0,0,0,0
NHC HEALTHCARE - BLUFFTON,SC,29909,For profit - Corporation,120,100.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,1,4,2.2063,1.75367,3.95997,0.42889,1,2,1,0,0,0,0
BROOKDALE ANDERSON,SC,29621,For profit - Corporation,44,26.3,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,4,3,5,4,2.5203,2.13404,4.65434,0.60109,,2,0,3,0,0,0
PRUITTHEALTH- BLYTHEWOOD,SC,29229,For profit - Limited Liability company,120,114.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,4,2.20728,1.62697,3.83424,0.22232,0,1,3,1,2,0,2
STILL HOPES EPISCOPAL RETIREMENT COMMUNITY,SC,29169,Non profit - Corporation,22,14.3,Medicare,N,Y,,N,N,Both,Yes,5,4,4,5,4.38414,5.23242,9.61657,2.18008,,0,0,0,1,0,1
PRESBYTERIAN HOME OF SC - FOOTHILLS,SC,29642,Non profit - Corporation,22,18.3,Medicare,N,Y,,N,N,Resident,Yes,5,4,5,3,2.00727,2.33763,4.3449,0.716,0,1,0,0,0,0,0
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-FLORENC,SC,29501,Non profit - Corporation,44,31.7,Medicare,N,Y,,N,N,Resident,Yes,3,3,4,4,2.38074,2.183,4.56374,0.43099,1,0,1,1,0,0,0
THE LODGE AT WELLMORE- TEGA CAY,SC,29708,For profit - Corporation,60,43.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,4,2.57218,2.11155,4.68373,0.54628,,0,0,0,0,0,0
WHITE OAK AT NORTH GROVE INC,SC,29303,For profit - Corporation,132,118.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,3,2.88141,1.76258,4.64399,0.27471,1,3,0,0,0,0,0
SKYLYN NURSING AND REHABILITATION CENTER,SC,29307,For profit - Individual,26,12.4,Medicare,N,Y,,N,N,Both,Yes,1,1,2,1,,,,,,1,2,2,15,1,16
BISHOP GADSDEN EPISCOPAL HEALTH CARE CENTER,SC,29412,Non profit - Church related,41,9,Medicare,N,Y,,N,N,Resident,Yes,3,2,4,5,2.52411,2.73681,5.26092,1.52442,,0,0,0,0,0,0
"WELLMORE OF LEXINGTON, LLC",SC,29072,For profit - Corporation,60,44.2,Medicare,N,Y,,N,N,Resident,Yes,2,2,4,4,2.94987,2.21719,5.16706,0.63096,,1,0,0,6,0,6
SPRENGER HEALTH CARE OF PORT ROYAL,SC,29935,For profit - Corporation,65,44.4,Medicare,N,Y,,N,N,Resident,Yes,4,4,3,3,2.54114,1.64553,4.18667,0.57229,1,0,0,3,0,0,0
RETREAT AT WELLMORE OF DANIEL ISLAND,SC,29492,For profit - Corporation,60,45.1,Medicare,N,Y,,N,N,None,Yes,2,2,2,4,3.23043,2.19318,5.42361,0.31888,,0,0,7,2,0,2
SPRENGER HEALTHCARE OF BLUFFTON,SC,29909,For profit - Corporation,60,40.7,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,2,2,3,2,2.42994,1.90352,4.33346,0.27667,1,1,2,0,3,0,3
SENIOR CARE OF MARION,SC,29571,For profit - Partnership,95,32.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,3,2.68245,2.5516,5.23405,0.39697,1,0,1,7,2,0,2
SHEM CREEK NURSING AND REHAB,SC,29464,For profit - Limited Liability company,40,32.7,Medicare,N,Y,,N,N,Resident,Yes,3,3,3,2,2.37252,1.32116,3.69369,0.45468,,0,0,1,3,0,3
KEMPTON OF CHARLESTON,SC,29403,For profit - Corporation,23,,Medicare,N,N,,N,N,Resident,Yes,,,,,,,,,,0,0,,0,0,0
PRAIRIE HEIGHTS HEALTHCARE,SD,57401,For profit - Limited Liability company,99,65.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,2,1.95742,1.34376,3.30119,0.63119,1,0,3,0,1,0,1
AVANTARA MILBANK,SD,57252,For profit - Corporation,83,45.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,3,1.86002,1.14617,3.0062,0.30094,0,0,0,0,1,0,1
AVANTARA HURON,SD,57350,For profit - Limited Liability company,119,70.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,3,2.54383,1.13235,3.67618,0.42534,,0,0,0,2,0,2
AVERA ROSEBUD COUNTRY CARE CENTER,SD,57533,Non profit - Church related,42,30,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,5,4,4,5,3.47443,1.33457,4.809,0.48545,,0,0,0,3,0,3
WESTHILLS VILLAGE HEALTH CARE FACILITY,SD,57701,Non profit - Corporation,44,37.9,Medicare,N,Y,,N,N,Resident,Yes,5,5,5,4,2.91865,2.1236,5.04225,1.01514,,0,0,0,0,0,0
AVERA MARYHOUSE LONG TERM CARE,SD,57501,Non profit - Corporation,43,49,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,4,3,3,5,2.90659,1.64757,4.55416,0.94035,1,0,0,2,1,0,1
ROLLING HILLS HEALTHCARE,SD,57717,For profit - Limited Liability company,83,52.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,4,1,1.95936,0.98099,2.94035,0.37292,1,0,1,1,3,0,3
JENKIN'S LIVING CENTER,SD,57201,Non profit - Corporation,110,89.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,4,5,2.32655,1.6794,4.00595,0.47819,1,0,0,0,0,0,0
CLARKSON HEALTH CARE,SD,57702,Non profit - Other,52,41.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,2,2.19674,1.32388,3.52062,0.45702,,0,0,1,1,0,1
TEKAKWITHA LIVING CENTER,SD,57262,Non profit - Corporation,39,40.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,3,1.68721,1.21008,2.89729,0.33764,0,0,0,2,3,0,3
AVANTARA NORTON,SD,57105,For profit - Corporation,110,73,Medicare and Medicaid,N,N,SFF Candidate,Y,N,Resident,Yes,1,1,1,2,2.42818,1.26462,3.6928,0.37222,2,2,9,0,4,1,5
